"Items","Period","Value"
"Loans and Leases","FY23",57124
"Debt Securities","FY23",20226
"Federal Funds Activities","FY23",18679
"Trading Account Assets","FY23",8773
"Other Interest Income","FY23",25460
"Deposits","FY23",26163
"Short-term Borrowing","FY23",30553
"Trading Account Liabilities","FY23",2043
"Long-term Debt","FY23",14572
"Fee and Commissions","FY23",32009
"Market Making and Similar Activities","FY23",12732
"Other Income","FY23",-3091
"Provision for Credit Losses","FY23",4394
"Compensation and Benefits","FY23",38330
"Occupancy and Equipment","FY23",7164
"Information Processing and Communications","FY23",6707
"Product Delivery and Transaction Related","FY23",3608
"Professional Fees","FY23",2159
"Marketing","FY23",1927
"Other General Operating","FY23",5950
"Income Tax","FY23",1827
"Net Income","FY23",26515
"Loans and Leases","FY22",37919
"Debt Securities","FY22",17127
"Federal Funds Activities","FY22",4560
"Trading Account Assets","FY22",5521
"Other Interest Income","FY22",7438
"Deposits","FY22",4718
"Short-term Borrowing","FY22",6978
"Trading Account Liabilities","FY22",1538
"Long-term Debt","FY22",6869
"Fee and Commissions","FY22",33212
"Market Making and Similar Activities","FY22",12075
"Other Income","FY22",-2799
"Provision for Credit Losses","FY22",2543
"Compensation and Benefits","FY22",36447
"Occupancy and Equipment","FY22",7071
"Information Processing and Communications","FY22",6279
"Product Delivery and Transaction Related","FY22",3653
"Professional Fees","FY22",2142
"Marketing","FY22",1825
"Other General Operating","FY22",4021
"Income Tax","FY22",3441
"Net Income","FY22",26015
