"Items","Period","Value"
"Cost of Revenue","FY22",126203
"Research & Development","FY22",39500
"Sales & Marketing","FY22",26567
"General & Administrative","FY22",15724
"EBIT","FY22",71328
"Income Tax","FY22",11356
"Other Income (Expense), net","FY22",-3514
"Net Income","FY22",59972
"Google Search & Other","FY22",162450
"Google Network","FY22",32780
"YouTube Ads","FY22",29243
"Other Platforms","FY22",29055
"Google Clouds","FY22",26280
"Hedging Gains","FY22",1960
"Other Bets","FY22",1068
"Cost of Revenue","FY21",110939
"Research & Development","FY21",31562
"Sales & Marketing","FY21",22912
"General & Administrative","FY21",13510
"EBIT","FY21",90734
"Income Tax","FY21",14701
"Other Income (Expense), net","FY21",12020
"Net Income","FY21",76033
"Google Search & Other","FY21",148951
"Google Network","FY21",31701
"YouTube Ads","FY21",28845
"Other Platforms","FY21",28032
"Google Clouds","FY21",19206
"Hedging Gains","FY21",753
"Other Bets","FY21",149
"Cost of Revenue","23Q3",33229
"Research & Development","23Q3",11258
"Sales & Marketing","23Q3",6884
"General & Administrative","23Q3",3979
"EBIT","23Q3",21343
"Income Tax","23Q3",1508
"Other Income (Expense), net","23Q3",0
"Net Income","23Q3",19689
"Google Search & Other","23Q3",44026
"Google Network","23Q3",7669
"YouTube Ads","23Q3",7952
"Other Platforms","23Q3",8339
"Google Clouds","23Q3",8411
"Hedging Gains","23Q3",-1
"Other Bets","23Q3",297
